instrument,trade_count,long_count,short_count,gross_pnl,fees,slippage,net_pnl,net_return_contribution,profit_factor,win_rate,average_win,average_loss,expectancy,average_holding_period_hours,turnover,gross_exposure_sum_entry,max_drawdown_contribution,cost_drag,share_of_total_pnl,share_of_total_cost_drag,rank_by_net_pnl,rank_by_neg_drawdown_contrib,rank_by_cost_drag,rank_by_trade_count
ONT,1,1,0,-0.423728813559322,0.033474576271186385,0.016737288135593192,-0.4739406779661016,-4.7394067796610164e-05,0.0,0.0,0.0,-0.4739406779661016,-0.4739406779661016,140.0,33.474576271186386,16.949152542372854,-4.7394067796610164e-05,0.05021186440677958,-0.02038116094874785,0.0021946289579911826,21,94,109,97
RAY,1,1,0,-0.423728813559322,0.03347457627118637,0.016737288135593185,-0.4739406779661016,-4.7394067796610164e-05,0.0,0.0,0.0,-0.4739406779661016,-0.4739406779661016,228.0,33.47457627118637,16.949152542372847,-4.7394067796610164e-05,0.050211864406779556,-0.02038116094874785,0.0021946289579911817,22,95,110,99
GAS,1,1,0,-0.423728813559322,0.033474576271186426,0.016737288135593213,-0.4739406779661017,-4.739406779661017e-05,0.0,0.0,0.0,-0.4739406779661017,-0.4739406779661017,174.0,33.47457627118643,16.949152542372875,-4.739406779661017e-05,0.05021186440677964,-0.020381160948747853,0.002194628957991185,23,88,106,91
PEOPLE,1,1,0,-0.423728813559322,0.03347457627118642,0.01673728813559321,-0.4739406779661017,-4.739406779661017e-05,0.0,0.0,0.0,-0.4739406779661017,-0.4739406779661017,115.0,33.47457627118642,16.94915254237287,-4.739406779661017e-05,0.05021186440677963,-0.020381160948747853,0.0021946289579911848,24,91,108,98
THETA,1,1,0,-0.423728813559322,0.03347457627118644,0.01673728813559322,-0.4739406779661017,-4.739406779661017e-05,0.0,0.0,0.0,-0.4739406779661017,-0.4739406779661017,187.0,33.47457627118644,16.949152542372882,-4.739406779661017e-05,0.05021186440677966,-0.020381160948747853,0.002194628957991186,25,92,105,102
ETHFI,1,1,0,-0.42372881355932207,0.03347457627118642,0.01673728813559321,-0.47394067796610173,-4.739406779661017e-05,0.0,0.0,0.0,-0.47394067796610173,-0.47394067796610173,106.0,33.47457627118642,16.94915254237287,-4.739406779661017e-05,0.05021186440677963,-0.020381160948747853,0.0021946289579911848,26,87,107,90
NEAR,1,1,0,-0.423728813559322,0.03347457627118647,0.016737288135593234,-0.47394067796610173,-4.739406779661017e-05,0.0,0.0,0.0,-0.47394067796610173,-0.47394067796610173,845.0,33.474576271186464,16.949152542372893,-4.739406779661017e-05,0.0502118644067797,-0.020381160948747853,0.002194628957991188,27,89,102,94
ONE,1,1,0,-0.423728813559322,0.03347457627118647,0.016737288135593234,-0.47394067796610173,-4.739406779661017e-05,0.0,0.0,0.0,-0.47394067796610173,-0.47394067796610173,119.0,33.474576271186464,16.949152542372893,-4.739406779661017e-05,0.0502118644067797,-0.020381160948747853,0.002194628957991188,28,90,103,96
UMA,1,1,0,-0.423728813559322,0.033474576271186454,0.016737288135593227,-0.47394067796610173,-4.739406779661017e-05,0.0,0.0,0.0,-0.47394067796610173,-0.47394067796610173,106.0,33.47457627118646,16.94915254237289,-4.739406779661017e-05,0.05021186440677968,-0.020381160948747853,0.002194628957991187,29,93,104,104
GRT,1,1,0,-0.423728813559322,0.033474576271186524,0.016737288135593262,-0.4739406779661018,-4.739406779661018e-05,0.0,0.0,0.0,-0.4739406779661018,-0.4739406779661018,845.0,33.47457627118652,16.94915254237292,-4.739406779661018e-05,0.050211864406779785,-0.020381160948747857,0.0021946289579911917,30,84,99,92
