left_out,net_return,net_pnl,sharpe,max_drawdown,profit_factor,delta_net_return,delta_net_pnl,delta_sharpe,delta_max_drawdown,delta_profit_factor,total_trades
BAND,0.0024407196284144117,24.407196284142714,0.1980887823169528,-0.020559804486635223,1.1187131730752033,0.00011533355664972156,1.1533355664969704,0.007112175794656894,-7.958613924056654e-05,0.005170141828156671,452
SNX,0.0024407196284144117,24.407196284142714,0.19810054615087896,-0.020559804486635223,1.1187131730752033,0.00011533355664972156,1.1533355664969704,0.00712393962858307,-7.958613924056654e-05,0.005170141828156671,452
APE,0.0024408471146322164,24.408471146322196,0.19810198896627737,-0.020559677000417286,1.1187201099794846,0.00011546104286752623,1.1546104286764525,0.007125382443981476,-7.945865302263003e-05,0.00517707873243789,452
AVAX,0.0024408471146322164,24.408471146322196,0.1980987173034828,-0.020559677000417286,1.1187201099794846,0.00011546104286752623,1.1546104286764525,0.007122110781186908,-7.945865302263003e-05,0.00517707873243789,452
CFX,0.0024408471146322164,24.408471146322196,0.19809676869844745,-0.020559677000417286,1.1187201099794846,0.00011546104286752623,1.1546104286764525,0.007120162176151551,-7.945865302263003e-05,0.00517707873243789,452
ENJ,0.0024408471146322164,24.408471146322196,0.19809740091370923,-0.020559677000417286,1.1187201099794846,0.00011546104286752623,1.1546104286764525,0.007120794391413332,-7.945865302263003e-05,0.00517707873243789,452
MANA,0.0024408471146322164,24.408471146322196,0.1981085394569982,-0.020559677000417286,1.1187201099794846,0.00011546104286752623,1.1546104286764525,0.007131932934702295,-7.945865302263003e-05,0.00517707873243789,452
SOL,0.0024408471146322164,24.408471146322196,0.19810457686524868,-0.020559677000417286,1.1187201099794846,0.00011546104286752623,1.1546104286764525,0.0071279703429527885,-7.945865302263003e-05,0.00517707873243789,452
XTZ,0.0024408471146322164,24.408471146322203,0.19810332244508588,-0.020559677000417286,1.1187201099794846,0.00011546104286752623,1.1546104286764596,0.007126715922789989,-7.945865302263003e-05,0.00517707873243789,452
YFI,0.0024408471146322164,24.408471146322203,0.19810262204792317,-0.020559677000417286,1.1187201099794846,0.00011546104286752623,1.1546104286764596,0.007126015525627277,-7.945865302263003e-05,0.00517707873243789,452
ZRX,0.0024408471146322164,24.408471146322203,0.19810004423080058,-0.020559677000417286,1.1187201099794848,0.00011546104286752623,1.1546104286764596,0.007123437708504682,-7.945865302263003e-05,0.005177078732438112,452
UNI,0.002488111695515771,24.881116955158493,0.2015587424977589,-0.020512412419533575,1.12129785832243,0.00016272562375108102,1.62725623751275,0.010582135975463008,-3.2194072138919116e-05,0.00775482707538333,451
AUCTION,0.002488111695515993,24.881116955158472,0.20155411048283858,-0.020512412419533756,1.12129785832243,0.00016272562375130306,1.6272562375127286,0.010577503960542689,-3.219407213909953e-05,0.00775482707538333,451
BCH,0.002488111695515993,24.881116955158472,0.2015553982001446,-0.020512412419533575,1.12129785832243,0.00016272562375130306,1.6272562375127286,0.010578791677848698,-3.2194072138919116e-05,0.00775482707538333,451
DOT,0.002488111695515993,24.881116955158472,0.20155474780257135,-0.020512412419533756,1.12129785832243,0.00016272562375130306,1.6272562375127286,0.010578141280275455,-3.219407213909953e-05,0.00775482707538333,451
ICX,0.002488111695515993,24.881116955158472,0.2015593870953052,-0.020512412419533575,1.12129785832243,0.00016272562375130306,1.6272562375127286,0.010582780573009293,-3.2194072138919116e-05,0.00775482707538333,451
JTO,0.002488111695515993,24.881116955158472,0.20155739453905633,-0.020512412419533756,1.12129785832243,0.00016272562375130306,1.6272562375127286,0.010580788016760434,-3.219407213909953e-05,0.00775482707538333,451
JUP,0.002488111695515993,24.881116955158472,0.2015534366694679,-0.020512412419533756,1.12129785832243,0.00016272562375130306,1.6272562375127286,0.010576830147172006,-3.219407213909953e-05,0.00775482707538333,451
QTUM,0.002488111695515993,24.881116955158472,0.2015627709514441,-0.020512412419533575,1.12129785832243,0.00016272562375130306,1.6272562375127286,0.010586164429148198,-3.2194072138919116e-05,0.00775482707538333,451
WOO,0.002488111695515993,24.881116955158486,0.20155607562681815,-0.020512412419533575,1.12129785832243,0.00016272562375130306,1.6272562375127428,0.01057946910452226,-3.2194072138919116e-05,0.00775482707538333,451
BLUR,0.002488238466854753,24.882384668548283,0.2015673308945281,-0.020512285648194666,1.1213047882391314,0.00016285239509006288,1.6285239509025402,0.010590724372232213,-3.206730080001011e-05,0.007761756992084701,451
GMT,0.002488238466854753,24.882384668548283,0.20157135168598353,-0.020512285648194666,1.1213047882391314,0.00016285239509006288,1.6285239509025402,0.010594745163687636,-3.206730080001011e-05,0.007761756992084701,451
WIF,0.002488238466854753,24.882384668548298,0.20156534682897415,-0.020512285648194666,1.1213047882391314,0.00016285239509006288,1.6285239509025544,0.010588740306678252,-3.206730080001011e-05,0.007761756992084701,451
ETH,0.002488238466854975,24.882384668548283,0.20156934420210804,-0.020512285648194666,1.1213047882391314,0.00016285239509028493,1.6285239509025402,0.010592737679812142,-3.206730080001011e-05,0.007761756992084701,451
MASK,0.002488238466854975,24.882384668548283,0.20156797765558976,-0.020512285648194666,1.1213047882391314,0.00016285239509028493,1.6285239509025402,0.010591371133293864,-3.206730080001011e-05,0.007761756992084701,451
TIA,0.002488238466854975,24.882384668548298,0.20156063403836977,-0.020512285648194666,1.1213047882391314,0.00016285239509028493,1.6285239509025544,0.010584027516073874,-3.206730080001011e-05,0.007761756992084701,451
YGG,0.002488238466854975,24.88238466854831,0.2015666764161234,-0.020512285648194666,1.1213047882391314,0.00016285239509028493,1.628523950902565,0.01059006989382752,-3.206730080001011e-05,0.007761756992084701,451
METIS,0.0025352380116010487,25.35238011601153,0.20499824716406662,-0.02046528610344849,1.1238799203092487,0.00020985193983635853,2.098519398365788,0.014021640641770722,1.4932243946167573e-05,0.010336889062201982,450
GMX,0.0025352380116012707,25.352380116011513,0.20499696039872317,-0.02046528610344849,1.1238799203092487,0.00020985193983658057,2.09851939836577,0.014020353876427277,1.4932243946167573e-05,0.010336889062201982,450
INJ,0.0025352380116012707,25.35238011601153,0.2050043523890487,-0.02046528610344849,1.1238799203092487,0.00020985193983658057,2.098519398365788,0.014027745866752817,1.4932243946167573e-05,0.010336889062201982,450
BICO,0.002535364072069779,25.353640720698515,0.20501154348015632,-0.020465160042979734,1.123886843139523,0.00020997800030508884,2.0997800030527713,0.014034936957860428,1.5058304414922175e-05,0.010343811892476351,450
BONK,0.002535364072069779,25.353640720698515,0.20500883744728085,-0.020465160042979734,1.1238868431395228,0.00020997800030508884,2.0997800030527713,0.014032230924984956,1.5058304414922175e-05,0.010343811892476129,450
