instrument,member_id,bars,entry_intents,enter_long,enter_short,exit_or_reduce,mapped_nonzero_bars,mapped_nonzero_on_enter_epochs,enter_map_mismatch_count,engine_nonzero_bars,enter_engine_mismatch_count,remap_contract_ok,remap_contract_fail,median_impulse_len,max_impulse_len,total_trades,conversion_ratio_trades_per_enter,funnel_engine_values_match,engine_signal_source,classic_bypass,decision_funnel_trades_opened,decision_top,fill_class,first_drop_boundary,mechanical_defect_suspected
SUI,okx:linear_perpetual:SUI:USDT:USDT:perp,2953,36,1,35,1994,36,36,0,36,0,2953,0,1.0,3,1,0.027777777777777776,True,mv2_decision_replay_series,False,0,"{"""": 60, ""blocked"": 30, ""enter_long"": 1, ""enter_short"": 35, ""hold"": 3, ""no_action"": 38, ""observe"": 792, ""reduce"": 1994}",CONVERTED,NONE,False
SUSHI,okx:linear_perpetual:SUSHI:USDT:USDT:perp,2953,6,1,5,2514,6,6,0,6,0,2953,0,1.0,1,1,0.16666666666666666,True,mv2_decision_replay_series,False,0,"{"""": 60, ""blocked"": 28, ""enter_long"": 1, ""enter_short"": 5, ""hold"": 78, ""no_action"": 9, ""observe"": 258, ""reduce"": 2514}",CONVERTED,NONE,False
THETA,okx:linear_perpetual:THETA:USDT:USDT:perp,2953,1,1,0,2626,1,1,0,1,0,2953,0,1.0,1,1,1.0,True,mv2_decision_replay_series,False,0,"{"""": 60, ""blocked"": 27, ""enter_long"": 1, ""hold"": 152, ""observe"": 87, ""reduce"": 2626}",CONVERTED,NONE,False
TIA,okx:linear_perpetual:TIA:USDT:USDT:perp,2953,39,0,39,2201,39,39,0,39,0,2953,0,1.0,3,0,0.0,True,mv2_decision_replay_series,False,0,"{"""": 60, ""blocked"": 38, ""enter_short"": 39, ""no_action"": 40, ""observe"": 575, ""reduce"": 2201}",ENGINE_SIGNAL_PRESENT_LEDGER_ZERO_TRADE,backtest_engine_fill_or_roundtrip_ledger,False
TRB,okx:linear_perpetual:TRB:USDT:USDT:perp,2953,11,0,11,1181,11,11,0,11,0,2953,0,1.0,2,0,0.0,True,mv2_decision_replay_series,False,0,"{"""": 60, ""blocked"": 327, ""enter_short"": 11, ""no_action"": 8, ""observe"": 1366, ""reduce"": 1181}",ENGINE_SIGNAL_PRESENT_LEDGER_ZERO_TRADE,backtest_engine_fill_or_roundtrip_ledger,False
TRX,okx:linear_perpetual:TRX:USDT:USDT:perp,2953,0,0,0,1434,0,0,0,0,0,2953,0,0.0,0,0,0.0,True,mv2_decision_replay_series,False,0,"{"""": 60, ""blocked"": 2, ""no_action"": 3, ""observe"": 1454, ""reduce"": 1434}",NO_ENTRY_INTENT,entry_exit_policy,False
TURBO,okx:linear_perpetual:TURBO:USDT:USDT:perp,2953,1,1,0,545,1,1,0,1,0,2953,0,1.0,1,1,1.0,True,mv2_decision_replay_series,False,0,"{"""": 60, ""enter_long"": 1, ""hold"": 2346, ""observe"": 1, ""reduce"": 545}",CONVERTED,NONE,False
UMA,okx:linear_perpetual:UMA:USDT:USDT:perp,2953,1,1,0,2723,1,1,0,1,0,2953,0,1.0,1,1,1.0,True,mv2_decision_replay_series,False,0,"{"""": 60, ""blocked"": 7, ""enter_long"": 1, ""hold"": 90, ""no_action"": 2, ""observe"": 70, ""reduce"": 2723}",CONVERTED,NONE,False
UNI,okx:linear_perpetual:UNI:USDT:USDT:perp,2953,3,1,2,2510,3,3,0,3,0,2953,0,1.0,1,1,0.3333333333333333,True,mv2_decision_replay_series,False,0,"{"""": 60, ""blocked"": 11, ""enter_long"": 1, ""enter_short"": 2, ""hold"": 157, ""no_action"": 7, ""observe"": 205, ""reduce"": 2510}",CONVERTED,NONE,False
USDC,okx:linear_perpetual:USDC:USDT:USDT:perp,2953,0,0,0,0,0,0,0,0,0,2953,0,0.0,0,0,0.0,True,mv2_decision_replay_series,False,0,"{"""": 60, ""observe"": 2893}",NO_ENTRY_INTENT,entry_exit_policy,False
W,okx:linear_perpetual:W:USDT:USDT:perp,2953,303,1,302,16,303,303,0,303,0,2953,0,1.0,5,1,0.0033003300330033004,True,mv2_decision_replay_series,False,0,"{"""": 60, ""enter_long"": 1, ""enter_short"": 302, ""hold"": 4, ""no_action"": 267, ""observe"": 2303, ""reduce"": 16}",CONVERTED,NONE,False
WIF,okx:linear_perpetual:WIF:USDT:USDT:perp,2953,8,0,8,2732,8,8,0,8,0,2953,0,1.0,1,0,0.0,True,mv2_decision_replay_series,False,0,"{"""": 60, ""blocked"": 50, ""enter_short"": 8, ""no_action"": 4, ""observe"": 99, ""reduce"": 2732}",ENGINE_SIGNAL_PRESENT_LEDGER_ZERO_TRADE,backtest_engine_fill_or_roundtrip_ledger,False
WLD,okx:linear_perpetual:WLD:USDT:USDT:perp,2953,293,0,293,13,293,293,0,293,0,2953,0,1.0,4,0,0.0,True,mv2_decision_replay_series,False,0,"{"""": 60, ""blocked"": 69, ""enter_short"": 293, ""no_action"": 250, ""observe"": 2268, ""reduce"": 13}",ENGINE_SIGNAL_PRESENT_LEDGER_ZERO_TRADE,backtest_engine_fill_or_roundtrip_ledger,False
WOO,okx:linear_perpetual:WOO:USDT:USDT:perp,2953,3,1,2,2626,3,3,0,3,0,2953,0,1.0,1,1,0.3333333333333333,True,mv2_decision_replay_series,False,0,"{"""": 60, ""blocked"": 25, ""enter_long"": 1, ""enter_short"": 2, ""hold"": 107, ""no_action"": 2, ""observe"": 130, ""reduce"": 2626}",CONVERTED,NONE,False
XLM,okx:linear_perpetual:XLM:USDT:USDT:perp,2953,51,0,51,28,51,51,0,51,0,2953,0,1.0,2,0,0.0,True,mv2_decision_replay_series,False,0,"{"""": 60, ""enter_short"": 51, ""no_action"": 51, ""observe"": 2763, ""reduce"": 28}",ENGINE_SIGNAL_PRESENT_LEDGER_ZERO_TRADE,backtest_engine_fill_or_roundtrip_ledger,False
XRP,okx:linear_perpetual:XRP:USDT:USDT:perp,2953,22,0,22,1152,22,22,0,22,0,2953,0,1.0,3,0,0.0,True,mv2_decision_replay_series,False,0,"{"""": 60, ""blocked"": 5, ""enter_short"": 22, ""no_action"": 29, ""observe"": 1685, ""reduce"": 1152}",ENGINE_SIGNAL_PRESENT_LEDGER_ZERO_TRADE,backtest_engine_fill_or_roundtrip_ledger,False
XTZ,okx:linear_perpetual:XTZ:USDT:USDT:perp,2953,9,0,9,2261,9,9,0,9,0,2953,0,1.0,2,0,0.0,True,mv2_decision_replay_series,False,0,"{"""": 60, ""blocked"": 12, ""enter_short"": 9, ""no_action"": 15, ""observe"": 596, ""reduce"": 2261}",ENGINE_SIGNAL_PRESENT_LEDGER_ZERO_TRADE,backtest_engine_fill_or_roundtrip_ledger,False
YFI,okx:linear_perpetual:YFI:USDT:USDT:perp,2953,2,0,2,2422,2,2,0,2,0,2953,0,1.0,1,0,0.0,True,mv2_decision_replay_series,False,0,"{"""": 60, ""blocked"": 17, ""enter_short"": 2, ""no_action"": 2, ""observe"": 450, ""reduce"": 2422}",ENGINE_SIGNAL_PRESENT_LEDGER_ZERO_TRADE,backtest_engine_fill_or_roundtrip_ledger,False
YGG,okx:linear_perpetual:YGG:USDT:USDT:perp,2953,6,0,6,2625,6,6,0,6,0,2953,0,1.0,1,0,0.0,True,mv2_decision_replay_series,False,0,"{"""": 60, ""blocked"": 54, ""enter_short"": 6, ""no_action"": 3, ""observe"": 205, ""reduce"": 2625}",ENGINE_SIGNAL_PRESENT_LEDGER_ZERO_TRADE,backtest_engine_fill_or_roundtrip_ledger,False
ZETA,okx:linear_perpetual:ZETA:USDT:USDT:perp,2953,276,1,275,41,276,276,0,276,0,2953,0,1.0,4,1,0.0036231884057971015,True,mv2_decision_replay_series,False,0,"{"""": 60, ""enter_long"": 1, ""enter_short"": 275, ""hold"": 62, ""no_action"": 229, ""observe"": 2285, ""reduce"": 41}",CONVERTED,NONE,False
ZIL,okx:linear_perpetual:ZIL:USDT:USDT:perp,2953,9,0,9,2201,9,9,0,9,0,2953,0,1.0,2,0,0.0,True,mv2_decision_replay_series,False,0,"{"""": 60, ""blocked"": 27, ""enter_short"": 9, ""no_action"": 15, ""observe"": 641, ""reduce"": 2201}",ENGINE_SIGNAL_PRESENT_LEDGER_ZERO_TRADE,backtest_engine_fill_or_roundtrip_ledger,False
ZRX,okx:linear_perpetual:ZRX:USDT:USDT:perp,2953,10,0,10,2520,10,10,0,10,0,2953,0,1.0,1,0,0.0,True,mv2_decision_replay_series,False,0,"{"""": 60, ""blocked"": 25, ""enter_short"": 10, ""no_action"": 10, ""observe"": 328, ""reduce"": 2520}",ENGINE_SIGNAL_PRESENT_LEDGER_ZERO_TRADE,backtest_engine_fill_or_roundtrip_ledger,False
