member_id,side,gross_pnl,fees,slippage,net_pnl,residual_gross_minus_fees_minus_slip_minus_net,exit_reason
okx:linear_perpetual:LPT:USDT:USDT:perp,long,-50.0,3.9499999999999913,1.9749999999999956,-55.92499999999998,0.0,stop_loss
okx:linear_perpetual:LPT:USDT:USDT:perp,short,-49.720375000000004,4.027350375000006,2.013675187500003,-55.761400562500015,0.0,stop_loss
okx:linear_perpetual:LPT:USDT:USDT:perp,short,-49.441567997187505,4.004767007772193,2.0023835038860964,-55.4487185088458,7.105427357601002e-15,stop_loss
okx:linear_perpetual:LPT:USDT:USDT:perp,short,-49.16432440464301,3.982310276776108,1.991155138388054,-55.13778981980717,0.0,stop_loss
okx:linear_perpetual:LPT:USDT:USDT:perp,short,-48.888635455543984,3.9599794718990706,1.9799897359495353,-54.82860466339259,0.0,stop_loss
okx:linear_perpetual:LQTY:USDT:USDT:perp,long,-50.0,3.9499999999999913,1.9749999999999956,-55.92499999999998,0.0,stop_loss
okx:linear_perpetual:LQTY:USDT:USDT:perp,short,-49.720375000000004,4.0273503750000135,2.0136751875000067,-55.76140056250002,0.0,stop_loss
okx:linear_perpetual:LQTY:USDT:USDT:perp,short,-49.441567997187086,4.004767007772173,2.0023835038860867,-55.448718508845346,0.0,stop_loss
okx:linear_perpetual:LQTY:USDT:USDT:perp,short,-49.164324404643054,3.9823102767760954,1.9911551383880477,-55.137789819807196,0.0,stop_loss
okx:linear_perpetual:LQTY:USDT:USDT:perp,short,-48.88863545554424,3.959979471899087,1.9799897359495435,-54.828604663392866,-7.105427357601002e-15,stop_loss
okx:linear_perpetual:LQTY:USDT:USDT:perp,short,-48.61449243222727,3.9377738870104153,1.9688869435052077,-54.5211532627429,0.0,stop_loss
okx:linear_perpetual:LQTY:USDT:USDT:perp,short,-48.34188666591316,3.9156928199389784,1.9578464099694892,-54.215425895821625,0.0,stop_loss
okx:linear_perpetual:LQTY:USDT:USDT:perp,short,-48.070809536434446,3.8937355724511926,1.9468677862255963,-53.91141289511123,0.0,stop_loss
